"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CPNCU","Current prices in NCU","1990","1990","USD","US Dollar","0","Units",,,26773.5641367074,,
"USA","United States","CPNCU","Current prices in NCU","1991","1991","USD","US Dollar","0","Units",,,27856.4891636519,,
"USA","United States","CPNCU","Current prices in NCU","1992","1992","USD","US Dollar","0","Units",,,29261.8359303841,,
"USA","United States","CPNCU","Current prices in NCU","1993","1993","USD","US Dollar","0","Units",,,29818.4643292903,,
"USA","United States","CPNCU","Current prices in NCU","1994","1994","USD","US Dollar","0","Units",,,30323.6055502238,,
"USA","United States","CPNCU","Current prices in NCU","1995","1995","USD","US Dollar","0","Units",,,31142.3092358143,,
"USA","United States","CPNCU","Current prices in NCU","1996","1996","USD","US Dollar","0","Units",,,32269.417622666,,
"USA","United States","CPNCU","Current prices in NCU","1997","1997","USD","US Dollar","0","Units",,,33646.4602219074,,
"USA","United States","CPNCU","Current prices in NCU","1998","1998","USD","US Dollar","0","Units",,,35310.1868070352,,
"USA","United States","CPNCU","Current prices in NCU","1999","1999","USD","US Dollar","0","Units",,,36775.1465363379,,
"USA","United States","CPNCU","Current prices in NCU","2000","2000","USD","US Dollar","0","Units",,,38968.040659237,,
"USA","United States","CPNCU","Current prices in NCU","2001","2001","USD","US Dollar","0","Units",,,40052.9092196741,,
"USA","United States","CPNCU","Current prices in NCU","2002","2002","USD","US Dollar","0","Units",,,40900.833212376,,
"USA","United States","CPNCU","Current prices in NCU","2003","2003","USD","US Dollar","0","Units",,,42206.877024537,,
"USA","United States","CPNCU","Current prices in NCU","2004","2004","USD","US Dollar","0","Units",,,44062.5812886004,,
"USA","United States","CPNCU","Current prices in NCU","2005","2005","USD","US Dollar","0","Units",,,45369.7436342115,,
"USA","United States","CPNCU","Current prices in NCU","2006","2006","USD","US Dollar","0","Units",,,47343.3705088035,,
"USA","United States","CPNCU","Current prices in NCU","2007","2007","USD","US Dollar","0","Units",,,49510.8989400028,,
"USA","United States","CPNCU","Current prices in NCU","2008","2008","USD","US Dollar","0","Units",,,50824.8234034302,,
"USA","United States","CPNCU","Current prices in NCU","2009","2009","USD","US Dollar","0","Units",,,51188.878671513,,
"USA","United States","CPNCU","Current prices in NCU","2010","2010","USD","US Dollar","0","Units",,,52561.7105698327,,
"USA","United States","CPNCU","Current prices in NCU","2011","2011","USD","US Dollar","0","Units",,,53967.9628925106,,
"USA","United States","CPNCU","Current prices in NCU","2012","2012","USD","US Dollar","0","Units",,,55448.1810014755,,
"USA","United States","CPNCU","Current prices in NCU","2013","2013","USD","US Dollar","0","Units",,,55932.7965971181,,
"USA","United States","CPNCU","Current prices in NCU","2014","2014","USD","US Dollar","0","Units",,,57599.2549120004,,
"USA","United States","CPNCU","Current prices in NCU","2015","2015","USD","US Dollar","0","Units",,,59184.7135850912,,
"USA","United States","CPNCU","Current prices in NCU","2016","2016","USD","US Dollar","0","Units",,,59894.5339434444,,
"USA","United States","CPNCU","Current prices in NCU","2017","2017","USD","US Dollar","0","Units",,,61611.5035157261,,
"USA","United States","CPNCU","Current prices in NCU","2018","2018","USD","US Dollar","0","Units",,,63588.9718153995,,
"USA","United States","CPNCU","Current prices in NCU","2019","2019","USD","US Dollar","0","Units",,,65603.2073762032,,
"USA","United States","CPNCU","Current prices in NCU","2020","2020","USD","US Dollar","0","Units",,,69391.8064217965,,
"USA","United States","CNPNCU","2020 constant prices and NCU","1990","1990","USD","US Dollar","0","Units","2020","2020",46974.593827949,,
"USA","United States","CNPNCU","2020 constant prices and NCU","1991","1991","USD","US Dollar","0","Units","2020","2020",47293.4127192582,,
"USA","United States","CNPNCU","2020 constant prices and NCU","1992","1992","USD","US Dollar","0","Units","2020","2020",48389.432518019,,
"USA","United States","CNPNCU","2020 constant prices and NCU","1993","1993","USD","US Dollar","0","Units","2020","2020",48111.5691040974,,
"USA","United States","CNPNCU","2020 constant prices and NCU","1994","1994","USD","US Dollar","0","Units","2020","2020",47926.5702979932,,
"USA","United States","CNPNCU","2020 constant prices and NCU","1995","1995","USD","US Dollar","0","Units","2020","2020",48205.5663224452,,
"USA","United States","CNPNCU","2020 constant prices and NCU","1996","1996","USD","US Dollar","0","Units","2020","2020",48904.4253957518,,
"USA","United States","CNPNCU","2020 constant prices and NCU","1997","1997","USD","US Dollar","0","Units","2020","2020",50119.1140747133,,
"USA","United States","CNPNCU","2020 constant prices and NCU","1998","1998","USD","US Dollar","0","Units","2020","2020",52182.1733087712,,
"USA","United States","CNPNCU","2020 constant prices and NCU","1999","1999","USD","US Dollar","0","Units","2020","2020",53548.6332092189,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2000","2000","USD","US Dollar","0","Units","2020","2020",55365.7025952572,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2001","2001","USD","US Dollar","0","Units","2020","2020",55834.5992657734,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2002","2002","USD","US Dollar","0","Units","2020","2020",56274.6593658597,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2003","2003","USD","US Dollar","0","Units","2020","2020",56965.5637217267,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2004","2004","USD","US Dollar","0","Units","2020","2020",58023.4299368342,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2005","2005","USD","US Dollar","0","Units","2020","2020",58092.3516733398,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2006","2006","USD","US Dollar","0","Units","2020","2020",59013.8598788514,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2007","2007","USD","US Dollar","0","Units","2020","2020",60187.9847451486,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2008","2008","USD","US Dollar","0","Units","2020","2020",59986.2658883191,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2009","2009","USD","US Dollar","0","Units","2020","2020",60471.1085097494,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2010","2010","USD","US Dollar","0","Units","2020","2020",61047.8742268296,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2011","2011","USD","US Dollar","0","Units","2020","2020",61131.6800040717,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2012","2012","USD","US Dollar","0","Units","2020","2020",61634.2010319128,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2013","2013","USD","US Dollar","0","Units","2020","2020",61346.9094055764,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2014","2014","USD","US Dollar","0","Units","2020","2020",62263.4103581447,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2015","2015","USD","US Dollar","0","Units","2020","2020",63844.5557683489,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2016","2016","USD","US Dollar","0","Units","2020","2020",63941.8570447087,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2017","2017","USD","US Dollar","0","Units","2020","2020",64618.4522648294,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2018","2018","USD","US Dollar","0","Units","2020","2020",65302.9401423,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2019","2019","USD","US Dollar","0","Units","2020","2020",66382.5055522274,,
"USA","United States","CNPNCU","2020 constant prices and NCU","2020","2020","USD","US Dollar","0","Units","2020","2020",69391.8064217965,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","1990","1990","USD","US Dollar","0","Units","2020","2020",46974.593827949,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","1991","1991","USD","US Dollar","0","Units","2020","2020",47293.4127192582,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","1992","1992","USD","US Dollar","0","Units","2020","2020",48389.432518019,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","1993","1993","USD","US Dollar","0","Units","2020","2020",48111.5691040974,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","1994","1994","USD","US Dollar","0","Units","2020","2020",47926.5702979932,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","1995","1995","USD","US Dollar","0","Units","2020","2020",48205.5663224452,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","1996","1996","USD","US Dollar","0","Units","2020","2020",48904.4253957518,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","1997","1997","USD","US Dollar","0","Units","2020","2020",50119.1140747133,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","1998","1998","USD","US Dollar","0","Units","2020","2020",52182.1733087712,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","1999","1999","USD","US Dollar","0","Units","2020","2020",53548.6332092189,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","2000","2000","USD","US Dollar","0","Units","2020","2020",55365.7025952572,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","2001","2001","USD","US Dollar","0","Units","2020","2020",55834.5992657734,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","2002","2002","USD","US Dollar","0","Units","2020","2020",56274.6593658597,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","2003","2003","USD","US Dollar","0","Units","2020","2020",56965.5637217267,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","2004","2004","USD","US Dollar","0","Units","2020","2020",58023.4299368342,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","2005","2005","USD","US Dollar","0","Units","2020","2020",58092.3516733398,,
"USA","United States","USDPPP","In 2020 constant prices at 2020 USD PPPs","2006","2006","USD","US Dollar","0","Units","2020","2020",59013.8598788514,,
